CMDLINE python gridsearch_mem_leak.py
MEM 396.480469 1584919477.0839
MEM 397.328125 1584919477.2147
MEM 397.417969 1584919477.3427
MEM 397.523438 1584919477.4667
MEM 397.527344 1584919477.5903
MEM 397.527344 1584919477.7142
MEM 397.527344 1584919477.8265
MEM 397.527344 1584919477.9389
MEM 397.527344 1584919478.0514
MEM 398.042969 1584919478.1640
MEM 401.136719 1584919478.2763
MEM 401.136719 1584919478.3887
MEM 401.136719 1584919478.5011
MEM 401.386719 1584919478.6136
MEM 405.253906 1584919478.7261
MEM 427.425781 1584919478.8384
MEM 452.175781 1584919478.9510
MEM 437.625000 1584919479.0634
MEM 437.625000 1584919479.1759
MEM 437.753906 1584919479.2884
MEM 437.753906 1584919479.4009
MEM 441.800781 1584919479.5133
MEM 445.785156 1584919479.6255
MEM 458.179688 1584919479.7383
MEM 497.882812 1584919479.8511
MEM 444.074219 1584919479.9635
MEM 444.074219 1584919480.0760
MEM 444.074219 1584919480.1885
MEM 444.074219 1584919480.3013
MEM 444.074219 1584919480.4139
MEM 444.074219 1584919480.5265
MEM 444.074219 1584919480.6387
MEM 444.074219 1584919480.7513
MEM 444.074219 1584919480.8636
MEM 444.074219 1584919480.9761
MEM 444.074219 1584919481.0884
MEM 444.074219 1584919481.2008
MEM 444.074219 1584919481.3131
MEM 444.074219 1584919481.4255
MEM 444.074219 1584919481.5379
MEM 444.074219 1584919481.6503
MEM 444.074219 1584919481.7628
MEM 444.074219 1584919481.8752
MEM 444.074219 1584919481.9877
MEM 444.074219 1584919482.1000
MEM 444.074219 1584919482.2125
MEM 444.234375 1584919482.3248
MEM 444.574219 1584919482.4371
MEM 444.824219 1584919482.5499
MEM 444.824219 1584919482.6627
MEM 444.824219 1584919482.7755
MEM 444.824219 1584919482.8879
MEM 444.871094 1584919483.0001
MEM 444.871094 1584919483.1125
MEM 444.871094 1584919483.2250
MEM 445.539062 1584919483.3378
MEM 403.742188 1584919483.4502
MEM 399.593750 1584919483.5624
MEM 399.378906 1584919483.6766
MEM 399.378906 1584919483.7975
MEM 399.628906 1584919483.9103
MEM 401.628906 1584919484.0229
MEM 402.878906 1584919484.1358
MEM 404.113281 1584919484.2484
MEM 408.523438 1584919484.3614
MEM 410.289062 1584919484.4741
MEM 410.312500 1584919484.5866
MEM 410.312500 1584919484.6993
MEM 410.312500 1584919484.8119
MEM 410.312500 1584919484.9245
MEM 410.312500 1584919485.0372
